batter,bowler,balls_faced,runs_scored,dismissals,innings_faced,strike_rate
Abbott,Khaleel Ahmed,2,6,1,1,300
Abbott,Nortje,2,1,0,1,50
Abbott,Thakur,1,0,0,1,0
Abdul Basith,Harshal Patel,1,1,0,1,100
Abdul Samad,Arjun Tendulkar,2,1,1,1,50
Abdul Samad,Arshdeep Singh,12,23,2,4,191.6666667
Abdul Samad,Ashwin,11,7,0,2,63.63636364
Abdul Samad,Avesh Khan,4,7,2,3,175
Abdul Samad,Axar,9,4,0,1,44.44444444
Abdul Samad,Azmatullah,1,0,0,1,0
Abdul Samad,Behrendorff,2,5,0,1,250
Abdul Samad,Boult,4,2,1,3,50
Abdul Samad,Bumrah,2,1,1,1,50
Abdul Samad,Chahal,16,21,1,5,131.25
Abdul Samad,Chakaravarthy,14,9,1,4,64.28571429
Abdul Samad,Chawla,2,1,1,1,50
Abdul Samad,Darshan Nalkande,5,7,0,1,140
Abdul Samad,Eshan Malinga,1,1,0,1,100
Abdul Samad,Ferguson,3,8,0,1,266.6666667
Abdul Samad,Green,5,1,0,1,20
Abdul Samad,Hardik Pandya,3,6,0,2,200
Abdul Samad,Harpreet Brar,2,2,0,1,100
Abdul Samad,Harshal Patel,16,34,0,3,212.5
Abdul Samad,Harshit Rana,6,6,2,2,100
Abdul Samad,Holder,4,2,0,1,50
Abdul Samad,Jadeja,6,5,0,2,83.33333333
Abdul Samad,Jofra Archer,3,2,0,1,66.66666667
Abdul Samad,KM Asif,5,3,0,1,60
Abdul Samad,Karn Sharma,3,2,1,1,66.66666667
Abdul Samad,Khaleel Ahmed,6,15,0,2,250
Abdul Samad,Krunal Pandya,10,10,0,1,100
Abdul Samad,Kuldeep Yadav,5,10,0,2,200
Abdul Samad,Marco Jansen,12,15,1,2,125
Abdul Samad,Meredith,3,2,0,1,66.66666667
Abdul Samad,Mishra,2,2,0,2,100
Abdul Samad,Mitchell Marsh,4,8,1,1,200
Abdul Samad,Mitchell Starc,4,0,0,1,0
Abdul Samad,Mohit Sharma,8,13,1,2,162.5
Abdul Samad,Mukesh Kumar,7,7,2,2,100
Abdul Samad,Narine,7,13,0,2,185.7142857
Abdul Samad,Navdeep Saini,8,17,0,1,212.5
Abdul Samad,Nitish Reddy,2,0,1,1,0
Abdul Samad,Noor Ahmad,2,2,0,1,100
Abdul Samad,Nortje,5,8,0,1,160
Abdul Samad,Pathirana,9,16,0,2,177.7777778
