match_id,team,opponent,venue,match_result,team_players,avg_team_runs,avg_team_wkts
202428,KKR,LSG,"Eden Gardens, Kolkata",loss,"Philip Salt, Shreyas Iyer, Narine, Chakaravarthy, Harshit Rana, Starc, Vaibhav Arora, Angkrish Raghuvanshi, Russell",169.8181818,6.527272727
202450,SRH,RR,"Rajiv Gandhi International Stadium, Hyderabad",loss,"Nitish Reddy, Head, Marco Jansen, T Natarajan, Bhuvneshwar, Cummins, Klaasen, Unadkat, Abhishek Sharma, Anmolpreet Singh, Shahbaz Ahmed",177.8245614,6.263157895
202538,MI,CSK,"Wankhede Stadium, Mumbai",loss,"Rohit, Suryakumar Yadav, Chahar, Boult, Bumrah, Santner, Rickelton, Ashwani Kumar, Hardik Pandya, Will Jacks",177.1864407,6.13559322
202201,CSK,KKR,"Wankhede Stadium, Mumbai",loss,"Jadeja, Dhoni, Dwayne Bravo, Santner, Uthappa, Tushar Deshpande, Rayudu, Milne, Shivam Dube, Conway, Gaikwad",174.8596491,5.947368421
202202,MI,DC,"Brabourne Stadium, Mumbai",loss,"Ishan Kishan, Rohit, Daniel Sams, Basil Thampi, Murugan Ashwin, Bumrah, Tymal Mills, Tilak Varma, Anmolpreet Singh, Tim David, Pollard",177.1864407,6.13559322
202203,RCB,PBKS,"Dr DY Patil Sports Academy, Mumbai",loss,"du Plessis, Kohli, Siraj, Harshal Patel, Hasaranga, Anuj Rawat, Akash Deep, Willey, Karthik, Shahbaz Ahmed",178.4833333,5.983333333
202204,LSG,GT,"Wankhede Stadium, Mumbai",loss,"Hooda, Ayush Badoni, Krunal Pandya, Ravi Bishnoi, Avesh Khan, Chameera, Mohsin Khan, Lewis, de Kock, Manish Pandey, Rahul",177.7017544,6.087719298
202205,SRH,RR,"Maharashtra Cricket Association Stadium, Pune",loss,"Shepherd, Markram, Washington Sundar, Bhuvneshwar, Umran Malik, T Natarajan, Abhishek Sharma, Pooran, Williamson, Abdul Samad, Tripathi",177.8245614,6.263157895
202206,KKR,RCB,"Dr DY Patil Sports Academy, Mumbai",loss,"Chakaravarthy, Umesh Yadav, Russell, Narine, Southee, Venkatesh Iyer, Billings, Rahane, Shreyas Iyer, Nitish Rana, Jackson",169.8181818,6.527272727
202207,CSK,LSG,"Brabourne Stadium, Mumbai",loss,"Shivam Dube, Dwayne Bravo, Moeen Ali, Pretorius, Uthappa, Tushar Deshpande, Mukesh Choudhary, Jadeja, Rayudu, Dhoni, Gaikwad",174.8596491,5.947368421
202208,PBKS,KKR,"Wankhede Stadium, Mumbai",loss,"Rabada, Harpreet Brar, Odean Smith, Rahul Chahar, Arshdeep Singh, Livingstone, Dhawan, Raj Bawa, Rajapaksa, Mayank, Shahrukh Khan",176.9491525,6.508474576
202209,MI,RR,"Dr DY Patil Sports Academy, Mumbai",loss,"Pollard, Ishan Kishan, Tilak Varma, Murugan Ashwin, Daniel Sams, Bumrah, Tymal Mills, Basil Thampi, Rohit, Anmolpreet Singh, Tim David",177.1864407,6.13559322
202210,DC,GT,"Maharashtra Cricket Association Stadium, Pune",loss,"Kuldeep Yadav, Thakur, Mustafizur, Pant, Axar, Khaleel Ahmed, Lalit Yadav, Mandeep, Powell, Prithvi Shaw, Seifert",170.4181818,6.672727273
202211,CSK,PBKS,"Brabourne Stadium, Mumbai",loss,"Pretorius, Jadeja, Jordan, Shivam Dube, Dhoni, Mukesh Choudhary, Rayudu, Dwayne Bravo, Uthappa, Moeen Ali, Gaikwad",174.8596491,5.947368421
202212,SRH,LSG,"Dr DY Patil Sports Academy, Mumbai",loss,"Washington Sundar, Shepherd, Tripathi, Bhuvneshwar, Pooran, T Natarajan, Umran Malik, Williamson, Markram, Abhishek Sharma, Abdul Samad",177.8245614,6.263157895
202213,RR,RCB,"Wankhede Stadium, Mumbai",loss,"Buttler, Hetmyer, Padikkal, Ashwin, Prasidh, Boult, Chahal, Navdeep Saini, Samson, Jaiswal",176.8833333,5.9
202214,MI,KKR,"Maharashtra Cricket Association Stadium, Pune",loss,"Suryakumar Yadav, Tilak Varma, Ishan Kishan, Brevis, Daniel Sams, Basil Thampi, Bumrah, Murugan Ashwin, Tymal Mills, Rohit, Pollard",177.1864407,6.13559322
202215,DC,LSG,"Dr DY Patil Sports Academy, Mumbai",loss,"Pant, Prithvi Shaw, Sarfaraz Khan, Mustafizur, Lalit Yadav, Kuldeep Yadav, Thakur, Nortje, Axar, Warner, Powell",170.4181818,6.672727273
202216,PBKS,GT,"Brabourne Stadium, Mumbai",loss,"Rahul Chahar, Livingstone, Vaibhav Arora, Arshdeep Singh, Dhawan, Rabada, Odean Smith, Jitesh Sharma, Mayank, Bairstow, Shahrukh Khan",176.9491525,6.508474576
202217,CSK,SRH,"Dr DY Patil Sports Academy, Mumbai",loss,"Moeen Ali, Jadeja, Rayudu, Dwayne Bravo, M Theekshana, Mukesh Choudhary, Jordan, Gaikwad, Uthappa, Dhoni, Shivam Dube",174.8596491,5.947368421
202218,MI,RCB,"Maharashtra Cricket Association Stadium, Pune",loss,"Unadkat, Suryakumar Yadav, Ishan Kishan, Basil Thampi, Bumrah, Pollard, Murugan Ashwin, Rohit, Brevis, Ramandeep Singh, Tilak Varma",177.1864407,6.13559322
202219,KKR,DC,"Brabourne Stadium, Mumbai",loss,"Russell, Shreyas Iyer, Cummins, Chakaravarthy, Narine, Umesh Yadav, Nitish Rana, Rahane, Venkatesh Iyer, Rasikh Salam, Billings",169.8181818,6.527272727
202220,LSG,RR,"Wankhede Stadium, Mumbai",loss,"Holder, Chameera, de Kock, Avesh Khan, Ravi Bishnoi, Gowtham, Hooda, Stoinis, Krunal Pandya, Ayush Badoni, Rahul",177.7017544,6.087719298
202221,GT,SRH,"Dr DY Patil Sports Academy, Mumbai",loss,"Hardik Pandya, Ferguson, Rashid Khan, Shami, Abhinav Manohar, Wade, Miller, Darshan Nalkande, Rahul Tewatia, Shubman Gill, Sai Sudharsan",177.3666667,5.4
202222,RCB,CSK,"Dr DY Patil Sports Academy, Mumbai",loss,"Shahbaz Ahmed, Siraj, Hazlewood, Akash Deep, Maxwell, Hasaranga, Karthik, Prabhudessai, Anuj Rawat, du Plessis, Kohli",178.4833333,5.983333333
202223,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",loss,"Unadkat, Suryakumar Yadav, Bumrah, Tymal Mills, Basil Thampi, Murugan Ashwin, Brevis, Tilak Varma, Rohit, Pollard, Ishan Kishan",177.1864407,6.13559322
202224,RR,GT,"Dr DY Patil Sports Academy, Mumbai",loss,"Ashwin, Chahal, Neesham, Prasidh, Kuldeep Sen, Buttler, Riyan Parag, Hetmyer, Samson, van der Dussen, Padikkal",176.8833333,5.9
202225,KKR,SRH,"Brabourne Stadium, Mumbai",loss,"Russell, Nitish Rana, Cummins, Narine, Umesh Yadav, Shreyas Iyer, Chakaravarthy, Venkatesh Iyer, Aman Hakim Khan, Jackson, Finch",169.8181818,6.527272727
202226,MI,LSG,"Brabourne Stadium, Mumbai",loss,"Tilak Varma, Fabian Allen, Unadkat, Suryakumar Yadav, Bumrah, Murugan Ashwin, Tymal Mills, Ishan Kishan, Brevis, Pollard, Rohit",177.1864407,6.13559322
202227,DC,RCB,"Wankhede Stadium, Mumbai",loss,"Warner, Thakur, Kuldeep Yadav, Axar, Mustafizur, Khaleel Ahmed, Mitchell Marsh, Pant, Prithvi Shaw, Lalit Yadav, Powell",170.4181818,6.672727273
202228,PBKS,SRH,"Dr DY Patil Sports Academy, Mumbai",loss,"Livingstone, Shahrukh Khan, Arshdeep Singh, Rahul Chahar, Rabada, Vaibhav Arora, Odean Smith, Dhawan, Prabhsimran, Bairstow, Jitesh Sharma",176.9491525,6.508474576
202229,CSK,GT,"Maharashtra Cricket Association Stadium, Pune",loss,"Gaikwad, Rayudu, Jadeja, Dwayne Bravo, Jordan, M Theekshana, Mukesh Choudhary, Shivam Dube, Moeen Ali, Uthappa",174.8596491,5.947368421
202230,KKR,RR,"Brabourne Stadium, Mumbai",loss,"Shreyas Iyer, Umesh Yadav, Finch, Cummins, Narine, Shivam Mavi, Chakaravarthy, Russell, Nitish Rana, Jackson, Venkatesh Iyer",169.8181818,6.527272727
202231,LSG,RCB,"Dr DY Patil Sports Academy, Mumbai",loss,"Krunal Pandya, Holder, Ravi Bishnoi, Rahul, Avesh Khan, Stoinis, Chameera, Hooda, Ayush Badoni, Manish Pandey, de Kock",177.7017544,6.087719298
202232,PBKS,DC,"Brabourne Stadium, Mumbai",loss,"Rahul Chahar, Arshdeep Singh, Rabada, Jitesh Sharma, Shahrukh Khan, Mayank, Nathan Ellis, Vaibhav Arora, Dhawan, Bairstow, Livingstone",176.9491525,6.508474576
202233,MI,CSK,"Dr DY Patil Sports Academy, Mumbai",loss,"Hrithik Shokeen, Tilak Varma, Unadkat, Daniel Sams, Bumrah, Meredith, Suryakumar Yadav, Pollard, Brevis, Ishan Kishan, Rohit",177.1864407,6.13559322
202234,DC,RR,"Wankhede Stadium, Mumbai",loss,"Lalit Yadav, Prithvi Shaw, Thakur, Pant, Khaleel Ahmed, Mustafizur, Kuldeep Yadav, Axar, Powell, Warner, Sarfaraz Khan",170.4181818,6.672727273
202235,KKR,GT,"Dr DY Patil Sports Academy, Mumbai",loss,"Umesh Yadav, Russell, Shivam Mavi, Narine, Rinku Singh, Southee, Chakaravarthy, Venkatesh Iyer, Shreyas Iyer, Nitish Rana, Billings",169.8181818,6.527272727
202236,RCB,SRH,"Brabourne Stadium, Mumbai",loss,"Hazlewood, Hasaranga, Prabhudessai, Harshal Patel, Siraj, Maxwell, Shahbaz Ahmed, du Plessis, Karthik, Anuj Rawat, Kohli",178.4833333,5.983333333
202237,MI,LSG,"Wankhede Stadium, Mumbai",loss,"Daniel Sams, Pollard, Rohit, Tilak Varma, Bumrah, Meredith, Unadkat, Ishan Kishan, Hrithik Shokeen, Suryakumar Yadav, Brevis",177.1864407,6.13559322
202238,CSK,PBKS,"Wankhede Stadium, Mumbai",loss,"Rayudu, Jadeja, Dwayne Bravo, Gaikwad, Santner, Mukesh Choudhary, Pretorius, M Theekshana, Dhoni, Shivam Dube, Uthappa",174.8596491,5.947368421
202239,RCB,RR,"Maharashtra Cricket Association Stadium, Pune",loss,"Shahbaz Ahmed, Hasaranga, Harshal Patel, Siraj, Hazlewood, du Plessis, Rajat Patidar, Kohli, Maxwell, Prabhudessai, Karthik",178.4833333,5.983333333
202240,SRH,GT,"Wankhede Stadium, Mumbai",loss,"Abhishek Sharma, Markram, Marco Jansen, Washington Sundar, T Natarajan, Umran Malik, Bhuvneshwar, Tripathi, Williamson, Shashank Singh, Pooran",177.8245614,6.263157895
202241,KKR,DC,"Wankhede Stadium, Mumbai",loss,"Shreyas Iyer, Nitish Rana, Narine, Southee, Umesh Yadav, Harshit Rana, Venkatesh Iyer, Rinku Singh, Russell, Finch, Indrajith",169.8181818,6.527272727
202242,PBKS,LSG,"Maharashtra Cricket Association Stadium, Pune",loss,"Rishi Dhawan, Bairstow, Rabada, Livingstone, Rahul Chahar, Arshdeep Singh, Sandeep Sharma, Mayank, Dhawan, Rajapaksa, Jitesh Sharma",176.9491525,6.508474576
202243,RCB,GT,"Brabourne Stadium, Mumbai",loss,"Kohli, Rajat Patidar, Siraj, Harshal Patel, Hasaranga, Maxwell, Hazlewood, Shahbaz Ahmed, Lomror, du Plessis, Karthik",178.4833333,5.983333333
202244,RR,MI,"Dr DY Patil Sports Academy, Mumbai",loss,"Buttler, Ashwin, Daryl Mitchell, Prasidh, Chahal, Boult, Kuldeep Sen, Hetmyer, Padikkal, Samson, Riyan Parag",176.8833333,5.9
202245,DC,LSG,"Wankhede Stadium, Mumbai",loss,"Axar, Thakur, Pant, Kuldeep Yadav, Chetan Sakariya, Mustafizur, Powell, Mitchell Marsh, Lalit Yadav, Prithvi Shaw, Warner",170.4181818,6.672727273
202246,SRH,CSK,"Maharashtra Cricket Association Stadium, Pune",loss,"Williamson, Pooran, Markram, Umran Malik, T Natarajan, Abhishek Sharma, Bhuvneshwar, Marco Jansen, Shashank Singh, Washington Sundar, Tripathi",177.8245614,6.263157895
202247,RR,KKR,"Wankhede Stadium, Mumbai",loss,"Samson, Ashwin, Prasidh, Boult, Buttler, Chahal, Kuldeep Sen, Hetmyer, Karun Nair, Riyan Parag, Padikkal",176.8833333,5.9
202248,GT,PBKS,"Dr DY Patil Sports Academy, Mumbai",loss,"Sai Sudharsan, Rashid Khan, Alzarri Joseph, Ferguson, Shami, Sangwan, W Saha, Rahul Tewatia, Miller, Hardik Pandya, Shubman Gill",177.3666667,5.4
202249,CSK,RCB,"Maharashtra Cricket Association Stadium, Pune",loss,"Moeen Ali, Conway, Jadeja, M Theekshana, Pretorius, Gaikwad, Mukesh Choudhary, Simarjeet Singh, Rayudu, Dhoni, Uthappa",174.8596491,5.947368421
202250,SRH,DC,"Brabourne Stadium, Mumbai",loss,"Pooran, Abbott, Markram, Kartik Tyagi, Bhuvneshwar, Umran Malik, Shreyas Gopal, Tripathi, Williamson, Abhishek Sharma, Shashank Singh",177.8245614,6.263157895
