match_id,season,team1,team2,venue,winner,win_by_runs,win_by_wickets,result
202201,2022,CSK,KKR,"Wankhede Stadium, Mumbai",KKR,0,6,close
202202,2022,MI,DC,"Brabourne Stadium, Mumbai",DC,0,4,close
202203,2022,RCB,PBKS,"Dr DY Patil Sports Academy, Mumbai",PBKS,0,5,close
202204,2022,LSG,GT,"Wankhede Stadium, Mumbai",GT,0,5,close
202205,2022,RR,SRH,"Maharashtra Cricket Association Stadium, Pune",RR,61,0,one-sided
202206,2022,KKR,RCB,"Dr DY Patil Sports Academy, Mumbai",RCB,0,3,close
202207,2022,CSK,LSG,"Brabourne Stadium, Mumbai",LSG,0,6,close
202208,2022,PBKS,KKR,"Wankhede Stadium, Mumbai",KKR,0,6,close
202209,2022,RR,MI,"Dr DY Patil Sports Academy, Mumbai",RR,23,0,close
202210,2022,GT,DC,"Maharashtra Cricket Association Stadium, Pune",GT,14,0,close
202211,2022,PBKS,CSK,"Brabourne Stadium, Mumbai",PBKS,54,0,one-sided
202212,2022,LSG,SRH,"Dr DY Patil Sports Academy, Mumbai",LSG,12,0,close
202213,2022,RR,RCB,"Wankhede Stadium, Mumbai",RCB,0,5,close
202214,2022,MI,KKR,"Maharashtra Cricket Association Stadium, Pune",KKR,0,5,close
202215,2022,DC,LSG,"Dr DY Patil Sports Academy, Mumbai",LSG,0,6,close
202216,2022,PBKS,GT,"Brabourne Stadium, Mumbai",GT,0,7,close
202217,2022,CSK,SRH,"Dr DY Patil Sports Academy, Mumbai",SRH,0,8,one-sided
202218,2022,MI,RCB,"Maharashtra Cricket Association Stadium, Pune",RCB,0,8,one-sided
202219,2022,DC,KKR,"Brabourne Stadium, Mumbai",DC,44,0,close
202220,2022,RR,LSG,"Wankhede Stadium, Mumbai",RR,3,0,close
202221,2022,GT,SRH,"Dr DY Patil Sports Academy, Mumbai",SRH,0,8,one-sided
202222,2022,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",CSK,23,0,close
202223,2022,PBKS,MI,"Maharashtra Cricket Association Stadium, Pune",PBKS,12,0,close
202224,2022,GT,RR,"Dr DY Patil Sports Academy, Mumbai",GT,37,0,close
202225,2022,KKR,SRH,"Brabourne Stadium, Mumbai",SRH,0,7,close
202226,2022,LSG,MI,"Brabourne Stadium, Mumbai",LSG,18,0,close
202227,2022,RCB,DC,"Wankhede Stadium, Mumbai",RCB,16,0,close
202228,2022,PBKS,SRH,"Dr DY Patil Sports Academy, Mumbai",SRH,0,7,close
202229,2022,CSK,GT,"Maharashtra Cricket Association Stadium, Pune",GT,0,3,close
202230,2022,RR,KKR,"Brabourne Stadium, Mumbai",RR,7,0,close
202231,2022,RCB,LSG,"Dr DY Patil Sports Academy, Mumbai",RCB,18,0,close
202232,2022,PBKS,DC,"Brabourne Stadium, Mumbai",DC,0,9,one-sided
202233,2022,MI,CSK,"Dr DY Patil Sports Academy, Mumbai",CSK,0,3,close
202234,2022,RR,DC,"Wankhede Stadium, Mumbai",RR,15,0,close
202235,2022,GT,KKR,"Dr DY Patil Sports Academy, Mumbai",GT,8,0,close
202236,2022,RCB,SRH,"Brabourne Stadium, Mumbai",SRH,0,9,one-sided
202237,2022,LSG,MI,"Wankhede Stadium, Mumbai",LSG,36,0,close
202238,2022,PBKS,CSK,"Wankhede Stadium, Mumbai",PBKS,11,0,close
202239,2022,RR,RCB,"Maharashtra Cricket Association Stadium, Pune",RR,29,0,close
202240,2022,SRH,GT,"Wankhede Stadium, Mumbai",GT,0,5,close
202241,2022,KKR,DC,"Wankhede Stadium, Mumbai",DC,0,5,close
202242,2022,LSG,PBKS,"Maharashtra Cricket Association Stadium, Pune",LSG,20,0,close
202243,2022,RCB,GT,"Brabourne Stadium, Mumbai",GT,0,6,close
202244,2022,RR,MI,"Dr DY Patil Sports Academy, Mumbai",MI,0,5,close
202245,2022,LSG,DC,"Wankhede Stadium, Mumbai",LSG,6,0,close
202246,2022,CSK,SRH,"Maharashtra Cricket Association Stadium, Pune",CSK,13,0,close
202247,2022,RR,KKR,"Wankhede Stadium, Mumbai",KKR,0,7,close
202248,2022,GT,PBKS,"Dr DY Patil Sports Academy, Mumbai",PBKS,0,8,one-sided
202249,2022,RCB,CSK,"Maharashtra Cricket Association Stadium, Pune",RCB,13,0,close
202250,2022,DC,SRH,"Brabourne Stadium, Mumbai",DC,21,0,close
202251,2022,MI,GT,"Brabourne Stadium, Mumbai",MI,5,0,close
202252,2022,PBKS,RR,"Wankhede Stadium, Mumbai",RR,0,6,close
202253,2022,LSG,KKR,"Maharashtra Cricket Association Stadium, Pune",LSG,75,0,one-sided
202254,2022,RCB,SRH,"Wankhede Stadium, Mumbai",RCB,67,0,one-sided
202255,2022,CSK,DC,"Dr DY Patil Sports Academy, Mumbai",CSK,91,0,one-sided
202256,2022,KKR,MI,"Dr DY Patil Sports Academy, Mumbai",KKR,52,0,one-sided
202257,2022,GT,LSG,"Maharashtra Cricket Association Stadium, Pune",GT,62,0,one-sided
202258,2022,RR,DC,"Dr DY Patil Sports Academy, Mumbai",DC,0,8,one-sided
202259,2022,CSK,MI,"Wankhede Stadium, Mumbai",MI,0,5,close
202260,2022,PBKS,RCB,"Brabourne Stadium, Mumbai",PBKS,54,0,one-sided
202261,2022,KKR,SRH,"Maharashtra Cricket Association Stadium, Pune",KKR,54,0,one-sided
202262,2022,CSK,GT,"Wankhede Stadium, Mumbai",GT,0,7,close
202263,2022,RR,LSG,"Brabourne Stadium, Mumbai",RR,24,0,close
202264,2022,DC,PBKS,"Dr DY Patil Sports Academy, Mumbai",DC,17,0,close
202265,2022,SRH,MI,"Wankhede Stadium, Mumbai",SRH,3,0,close
202266,2022,LSG,KKR,"Dr DY Patil Sports Academy, Mumbai",LSG,2,0,close
202267,2022,GT,RCB,"Wankhede Stadium, Mumbai",RCB,0,8,one-sided
202268,2022,CSK,RR,"Brabourne Stadium, Mumbai",RR,0,5,close
202269,2022,DC,MI,"Wankhede Stadium, Mumbai",MI,0,5,close
202270,2022,SRH,PBKS,"Wankhede Stadium, Mumbai",PBKS,0,5,close
202271,2022,RR,GT,"Eden Gardens, Kolkata",GT,0,8,one-sided
202272,2022,RCB,LSG,"Eden Gardens, Kolkata",RCB,14,0,close
202273,2022,RCB,RR,"Narendra Modi Stadium, Ahmedabad",RR,0,7,close
202274,2022,RR,GT,"Narendra Modi Stadium, Ahmedabad",GT,0,7,close
202301,2023,CSK,GT,"Narendra Modi Stadium, Ahmedabad",GT,0,5,close
202302,2023,PBKS,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali",PBKS,45,0,close
202303,2023,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,50,0,one-sided
