player_name,role,franchise
Aaron,fast_bowler,NaN
Abbott,fast_bowler,NaN
Abdul Basith,fast_bowler,NaN
Akash Deep,fast_bowler,LSG
Akash Madhwal,fast_bowler,RR
Akash Maharaj Singh,fast_bowler,NaN
Akash Singh,fast_bowler,LSG
Alzarri Joseph,fast_bowler,NaN
Anshul Kamboj,fast_bowler,CSK
Arjun Tendulkar,fast_bowler,MI
Arshad Khan,fast_bowler,GT
Arshdeep Singh,fast_bowler,PBKS
Arshin Kulkarni,fast_bowler,LSG
Ashwani Kumar,fast_bowler,MI
Avesh Khan,fast_bowler,LSG
Azmatullah,fast_bowler,PBKS
Bartlett,fast_bowler,PBKS
Basil Thampi,fast_bowler,NaN
Behrendorff,fast_bowler,NaN
Bhuvneshwar,fast_bowler,RCB
Boult,fast_bowler,MI
Bumrah,fast_bowler,MI
Chahar,fast_bowler,MI
Chameera,fast_bowler,DC
Chetan Sakariya,fast_bowler,NaN
Corbin Bosch,fast_bowler,NaN
Coulter-Nile,fast_bowler,NaN
Cummins,fast_bowler,SRH
Daniel Sams,fast_bowler,NaN
Darshan Nalkande,fast_bowler,DC
Dwayne Bravo,fast_bowler,NaN
Eshan Malinga,fast_bowler,SRH
Fazalhaq Farooqi,fast_bowler,RR
Ferguson,fast_bowler,PBKS
Gerald Coetzee,fast_bowler,GT
Gurnoor Brar,fast_bowler,GT
Harshal Patel,fast_bowler,SRH
Harshit Rana,fast_bowler,KKR
Hazlewood,fast_bowler,RCB
Holder,fast_bowler,NaN
Ishant,fast_bowler,GT
J Richardson,fast_bowler,NaN
Jamie Overton,fast_bowler,CSK
Jamieson,fast_bowler,NaN
Jansen,fast_bowler,PBKS
Jofra Archer,fast_bowler,RR
Jordan,fast_bowler,NaN
Joshua Little,fast_bowler,NaN
K Nagarkoti,fast_bowler,CSK
Kartik Tyagi,fast_bowler,NaN
Khaleel Ahmed,fast_bowler,CSK
Khejroliya,fast_bowler,GT
KM Asif,fast_bowler,NaN
Kuldeep Sen,fast_bowler,PBKS
Kuldip Yadav,fast_bowler,NaN
Kwena Maphaka,fast_bowler,RR
Madhav Tiwari,fast_bowler,DC
Magala,fast_bowler,NaN
Marco Jansen,fast_bowler,PBKS
Mark Wood,fast_bowler,NaN
Matt Henry,fast_bowler,NaN
Mayank Yadav,fast_bowler,LSG
Meredith,fast_bowler,NaN
Mitchell Starc,fast_bowler,DC
Mohit Sharma,fast_bowler,DC
Mohsin Khan,fast_bowler,LSG
Mukesh Choudhary,fast_bowler,CSK
Mukesh Kumar,fast_bowler,DC
Mulder,fast_bowler,SRH
Mustafizur,fast_bowler,NaN
N Thushara,fast_bowler,RCB
