venue,player,indian,role,matches,runs,avg,SR,wickets,econ
"Maharashtra Cricket Association Stadium, Pune",Aaron,Yes,fast_bowler,1,NaN,NaN,NaN,0,8
"Wankhede Stadium, Mumbai",Aaron,Yes,fast_bowler,1,NaN,NaN,NaN,2,11.2
"Brabourne Stadium, Mumbai",Abbott,No,fast_bowler,2,7,7,140,1,11.8
"M.Chinnaswamy Stadium, Bengaluru",Abdul Basith,Yes,fast_bowler,1,1,NaN,100,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Abdul Samad,Yes,finisher,2,0,0,0,0,8
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abdul Samad,Yes,finisher,9,80,16,151,0,18
"Wankhede Stadium, Mumbai",Abdul Samad,Yes,finisher,2,5,2.5,62,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Abdul Samad,Yes,finisher,1,4,4,67,NaN,NaN
"MA Chidambaram Stadium, Chennai",Abdul Samad,Yes,finisher,3,23,7.666666667,100,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Abdul Samad,Yes,finisher,7,142,47.33333333,130,NaN,NaN
"Eden Gardens, Kolkata",Abdul Samad,Yes,finisher,2,21,10.5,140,NaN,NaN
"Arun Jaitley Stadium, Delhi",Abdul Samad,Yes,finisher,2,41,20.5,141,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Abdul Samad,Yes,finisher,3,49,24.5,169,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Abdul Samad,Yes,finisher,1,45,45,188,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Abdul Samad,Yes,finisher,1,25,25,208,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Abdul Samad,Yes,finisher,2,47,NaN,276,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Abdul Samad,Yes,finisher,1,37,NaN,370,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Abhijeet Tomar,Yes,opener,1,4,4,50,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Abhinav Manohar,Yes,finisher,1,1,1,50,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Abhinav Manohar,Yes,finisher,1,4,4,67,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Abhinav Manohar,Yes,finisher,2,13,6.5,93,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abhinav Manohar,Yes,finisher,2,15,7.5,94,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Abhinav Manohar,Yes,finisher,3,45,15,102,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Abhinav Manohar,Yes,finisher,5,117,23.4,131,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Abhinav Manohar,Yes,finisher,3,80,26.66666667,151,NaN,NaN
"Wankhede Stadium, Mumbai",Abhinav Manohar,Yes,finisher,3,17,8.5,155,NaN,NaN
"MA Chidambaram Stadium, Chennai",Abhishek Sharma,Yes,opener,6,63,12.6,134,2,6
"Wankhede Stadium, Mumbai",Abhishek Sharma,Yes,opener,8,168,28,128,0,8
"Sawai Mansingh Stadium, Jaipur",Abhishek Sharma,Yes,opener,2,55,55,162,0,8
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Abhishek Sharma,Yes,opener,2,1,NaN,100,0,9
"M.Chinnaswamy Stadium, Bengaluru",Abhishek Sharma,Yes,opener,2,34,34,155,0,10
"Arun Jaitley Stadium, Delhi",Abhishek Sharma,Yes,opener,5,145,48.33333333,227,1,10.4
"Rajiv Gandhi International Stadium, Hyderabad",Abhishek Sharma,Yes,opener,25,514,32.125,206,1,10.6
"Narendra Modi Stadium, Ahmedabad",Abhishek Sharma,Yes,opener,5,110,27.5,157,0,13
"Maharashtra Cricket Association Stadium, Pune",Abhishek Sharma,Yes,opener,4,91,30.33333333,128,0,15
"Brabourne Stadium, Mumbai",Abhishek Sharma,Yes,opener,3,57,19,130,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Abhishek Sharma,Yes,opener,4,161,40.25,136,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Abhishek Sharma,Yes,opener,1,16,16,145,NaN,NaN
"Eden Gardens, Kolkata",Abhishek Sharma,Yes,opener,3,66,22,157,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abhishek Sharma,Yes,opener,2,93,46.5,251,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Abishek Porel,Yes,wicket-keeper,3,14,4.666666667,78,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Abishek Porel,Yes,wicket-keeper,1,7,7,78,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Abishek Porel,Yes,wicket-keeper,1,8,8,80,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Abishek Porel,Yes,wicket-keeper,1,9,9,90,NaN,NaN
"Wankhede Stadium, Mumbai",Abishek Porel,Yes,wicket-keeper,2,47,23.5,118,NaN,NaN
"Eden Gardens, Kolkata",Abishek Porel,Yes,wicket-keeper,1,18,18,120,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Abishek Porel,Yes,wicket-keeper,4,43,21.5,139,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abishek Porel,Yes,wicket-keeper,1,51,51,142,NaN,NaN
"Arun Jaitley Stadium, Delhi",Abishek Porel,Yes,wicket-keeper,11,366,33.27272727,162,NaN,NaN
"MA Chidambaram Stadium, Chennai",Abishek Porel,Yes,wicket-keeper,1,33,33,165,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Abishek Porel,Yes,wicket-keeper,2,33,16.5,206,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Abishek Porel,Yes,wicket-keeper,1,32,NaN,320,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Adil Rashid,No,spinner,2,4,4,133,2,7.7
"Rajiv Gandhi International Stadium, Hyderabad",Adil Rashid,No,spinner,2,18,18,138,0,8.2
