batsman,bowler,venue,phase,recent_bat_form,bowler_wickets_last50,batsman_runs_vs_bowler_last50,bat_phase_rpb,bp_wicket_rate,predicted_prob_wicket
hooda,aaron,"wankhede stadium, mumbai",middle,0.0,0.8,9.0,1.244047619047619,0.0,0.0039401576
lewis,aaron,"wankhede stadium, mumbai",powerplay,0.0,0.0,4.5,0.7857142857142857,0.07142857142857142,0.18187706
de kock,aaron,"wankhede stadium, mumbai",powerplay,0.0,1.5,1.25,1.2974238875878221,0.07142857142857142,0.30081606
manish pandey,aaron,"wankhede stadium, mumbai",powerplay,0.0,0.6,2.2,0.9577464788732394,0.07142857142857142,0.2289868
hooda,aaron,"wankhede stadium, mumbai",powerplay,0.0,1.0,4.0,1.0704225352112675,0.07142857142857142,0.23375413
ayush badoni,aaron,"wankhede stadium, mumbai",middle,0.0,1.0,0.0,1.1587837837837838,0.0,0.0023645351
ayush badoni,aaron,"wankhede stadium, mumbai",death,0.0,1.0,1.5,1.524547803617571,0.14285714285714285,0.650033
krunal pandya,aaron,"wankhede stadium, mumbai",death,0.0,1.25,2.25,1.292817679558011,0.14285714285714285,0.26491567
chameera,aaron,"wankhede stadium, mumbai",death,0.0,2.0,0.0,1.1521739130434783,0.14285714285714285,0.37621224
lalit yadav,aaron,"maharashtra cricket association stadium, pune",middle,48.0,2.0,0.5,1.0901639344262295,0.0,0.01130654
pant,aaron,"maharashtra cricket association stadium, pune",middle,1.0,2.0,2.25,1.3107221006564551,0.0,0.0054252422
warner,abbott,"brabourne stadium, mumbai",powerplay,24.333333333333332,0.0,10.714285714285714,1.394557823129252,0.07692307692307694,0.31697243
powell,abbott,"brabourne stadium, mumbai",middle,34.666666666666664,0.0,2.0,1.027027027027027,0.0,0.005985389
warner,abbott,"brabourne stadium, mumbai",death,24.333333333333332,0.0,0.0,1.2236842105263157,0.0,0.0027799176
powell,abbott,"brabourne stadium, mumbai",death,34.666666666666664,0.0,4.6,1.6845637583892619,0.0,0.013438215
warner,abbott,"brabourne stadium, mumbai",middle,24.333333333333332,0.0,6.0,1.2613240418118468,0.0,0.003777638
mitchell marsh,abbott,"brabourne stadium, mumbai",powerplay,21.333333333333332,0.0,3.6,1.4550561797752808,0.07692307692307693,0.53226495
pant,abbott,"brabourne stadium, mumbai",powerplay,30.0,1.0,0.0,1.2222222222222223,0.07692307692307693,0.37186757
hooda,abdul samad,"dr dy patil sports academy, mumbai",middle,34.0,0.0,0.6666666666666666,1.244047619047619,0.0,0.004666292
rahul,abdul samad,"dr dy patil sports academy, mumbai",middle,20.0,0.0,3.0,1.3390119250425894,0.0,0.008455168
shreyas iyer,abdul samad,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,53.666666666666664,0.0,0.0,1.8774509803921569,0.0,0.005650261
philip salt,abhishek sharma,"arun jaitley stadium, delhi",middle,2.5,0.0,0.5,1.7033898305084745,0.023622047244094488,0.23212668
rutherford,abhishek sharma,"rajiv gandhi international stadium, hyderabad",death,31.333333333333332,0.8571428571428571,8.285714285714286,1.3233082706766919,0.03125,0.17955643
mitchell marsh,abhishek sharma,"arun jaitley stadium, delhi",middle,9.0,0.5,6.625,1.4316770186335404,0.023622047244094488,0.17474253
shubman gill,abhishek sharma,"narendra modi stadium, ahmedabad",middle,45.333333333333336,0.8333333333333334,5.333333333333333,1.4963609898107715,0.023622047244094488,0.09278726
manish pandey,abhishek sharma,"arun jaitley stadium, delhi",middle,32.86666666666667,0.4,1.6,1.1415094339622642,0.023622047244094488,0.3500331
priyam garg,abhishek sharma,"arun jaitley stadium, delhi",middle,23.0,1.0,0.0,1.5625,0.023622047244094488,0.20521057
kohli,abhishek sharma,"rajiv gandhi international stadium, hyderabad",middle,24.666666666666668,1.0,6.333333333333333,1.2521126760563381,0.023622047244094488,0.12220412
kohli,abhishek sharma,"m.chinnaswamy stadium, bengaluru",powerplay,46.0,1.3333333333333333,10.333333333333334,1.4065934065934067,0.0,0.0053722854
du plessis,abhishek sharma,"m.chinnaswamy stadium, bengaluru",powerplay,41.333333333333336,1.0,6.333333333333333,1.3782668500687756,0.0,0.008284767
du plessis,abhishek sharma,"rajiv gandhi international stadium, hyderabad",middle,55.0,1.1666666666666667,8.5,1.3947939262472886,0.023622047244094488,0.08551594
kohli,abhishek sharma,"rajiv gandhi international stadium, hyderabad",powerplay,23.037037037037038,0.8888888888888888,12.222222222222221,1.4065934065934067,0.0,0.0049822154
du plessis,abhishek sharma,"rajiv gandhi international stadium, hyderabad",powerplay,49.16666666666667,0.75,19.0,1.3782668500687758,0.0,0.0032732484
sai sudharsan,abhishek sharma,"narendra modi stadium, ahmedabad",middle,30.666666666666668,1.0,0.0,1.4033898305084747,0.023622047244094488,0.16100577
hetmyer,abhishek sharma,"ma chidambaram stadium, chennai",middle,13.0,1.0,0.6666666666666666,1.1741573033707866,0.023622047244094488,0.13349572
