player_name,role,franchise
Aaron,fast_bowler,
Abbott,fast_bowler,
Abdul Basith,fast_bowler,
Akash Deep,fast_bowler,LSG
Akash Madhwal,fast_bowler,RR
Akash Maharaj Singh,fast_bowler,
Akash Singh,fast_bowler,LSG
Alzarri Joseph,fast_bowler,
Anshul Kamboj,fast_bowler,CSK
Arjun Tendulkar,fast_bowler,MI
Arshad Khan,fast_bowler,GT
Arshdeep Singh,fast_bowler,PBKS
Arshin Kulkarni,fast_bowler,LSG
Ashwani Kumar,fast_bowler,MI
Avesh Khan,fast_bowler,LSG
Azmatullah,fast_bowler,PBKS
Bartlett,fast_bowler,PBKS
Basil Thampi,fast_bowler,
Behrendorff,fast_bowler,
Bhuvneshwar,fast_bowler,RCB
Boult,fast_bowler,MI
Bumrah,fast_bowler,MI
Chahar,fast_bowler,MI
Chameera,fast_bowler,DC
Chetan Sakariya,fast_bowler,
Corbin Bosch,fast_bowler,
Coulter-Nile,fast_bowler,
Cummins,fast_bowler,SRH
Daniel Sams,fast_bowler,
Darshan Nalkande,fast_bowler,DC
Dwayne Bravo,fast_bowler,
Eshan Malinga,fast_bowler,SRH
Fazalhaq Farooqi,fast_bowler,RR
Ferguson,fast_bowler,PBKS
Gerald Coetzee,fast_bowler,GT
Gurnoor Brar,fast_bowler,GT
Harshal Patel,fast_bowler,SRH
Harshit Rana,fast_bowler,KKR
Hazlewood,fast_bowler,RCB
Holder,fast_bowler,
Ishant,fast_bowler,GT
J Richardson,fast_bowler,
Jamie Overton,fast_bowler,CSK
Jamieson,fast_bowler,
Jansen,fast_bowler,PBKS
Jofra Archer,fast_bowler,RR
Jordan,fast_bowler,
Joshua Little,fast_bowler,
K Nagarkoti,fast_bowler,CSK
Kartik Tyagi,fast_bowler,
Khaleel Ahmed,fast_bowler,CSK
Khejroliya,fast_bowler,GT
KM Asif,fast_bowler,
Kuldeep Sen,fast_bowler,PBKS
Kuldip Yadav,fast_bowler,
Kwena Maphaka,fast_bowler,RR
Madhav Tiwari,fast_bowler,DC
Magala,fast_bowler,
Marco Jansen,fast_bowler,PBKS
Mark Wood,fast_bowler,
Matt Henry,fast_bowler,
Mayank Yadav,fast_bowler,LSG
Meredith,fast_bowler,
Mitchell Starc,fast_bowler,DC
Mohit Sharma,fast_bowler,DC
Mohsin Khan,fast_bowler,LSG
Mukesh Choudhary,fast_bowler,CSK
Mukesh Kumar,fast_bowler,DC
Mulder,fast_bowler,SRH
Mustafizur,fast_bowler,
N Thushara,fast_bowler,RCB
Nandre Burger,fast_bowler,
Nathan Ellis,fast_bowler,CSK
Navdeep Saini,fast_bowler,
Naveen-ul-Haq,fast_bowler,
Neesham,fast_bowler,
Ngidi,fast_bowler,RCB
Nortje,fast_bowler,KKR
Obed McCoy,fast_bowler,
Odean Smith,fast_bowler,
Parnell,fast_bowler,
Pathirana,fast_bowler,CSK
Prasidh,fast_bowler,GT
Pretorius,fast_bowler,
Prince Yadav,fast_bowler,LSG
Rabada,fast_bowler,GT
Raj Bawa,fast_bowler,MI
Rasikh Salam,fast_bowler,RCB
Richard Gleeson,fast_bowler,
Rishi Dhawan,fast_bowler,
RS Hangargekar,fast_bowler,LSG
S Kaul,fast_bowler,
Sakariya,fast_bowler,
Sam Curran,fast_bowler,CSK
Sandeep,fast_bowler,RR
Sandeep Sharma,fast_bowler,RR
Sangwan,fast_bowler,
Satyanarayana Raju,fast_bowler,MI
Shamar Joseph,fast_bowler,LSG
Shami,fast_bowler,SRH
Shepherd,fast_bowler,RCB
Shivam Mavi,fast_bowler,
Simarjeet Singh,fast_bowler,SRH
Siraj,fast_bowler,GT
Southee,fast_bowler,
Spencer Johnson,fast_bowler,KKR
T Natarajan,fast_bowler,DC
Tanush Kotian,fast_bowler,
Thakur,fast_bowler,LSG
Topley,fast_bowler,MI
Tushar Deshpande,fast_bowler,RR
Tye,fast_bowler,
Tymal Mills,fast_bowler,
Umesh Yadav,fast_bowler,GT
Umran Malik,fast_bowler,KKR
Unadkat,fast_bowler,SRH
Vaibhav Arora,fast_bowler,KKR
Vijaykumar Vyshak,fast_bowler,PBKS
Warrier,fast_bowler,
Wiese,fast_bowler,
Willey,fast_bowler,
William ORourke,fast_bowler,
Lizard Williams,fast_bowler,MI
Wood,fast_bowler,
Yash Dayal,fast_bowler,RCB
Yash Thakur,fast_bowler,PBKS
Yudhvir Singh,fast_bowler,
Abdul Samad,finisher,LSG
Abhinav Manohar,finisher,SRH
